sample_fraction_coded,n-C14:0,i-C15:0,C16:1 w7 (trans),i-C16:0,C16:1 w7 (cis),n-C16:0,10_14_DiMe_C17,C17:1 w8 (trans),i-C17:0,ai-C17:0,i-C18:0,ai-C18:0,C18:1 w7,ai-C15:0,C16:1 w5,C18:2_2,n-C18:0,n-C20:0,n-C22:0,n-C24:0,n-C12:0,C18:2_1,C18:1_1,C18:1 w9,C16-diacid,C22-diacid,n-C26:0,C17:1 w8 (cis),m-C18:0_2,n-C15:0,n-C21:0,m-C16:0_1,C19:1_2,C20:1_1,m-C23:0-C2,C18-diacid,n-C23:0,C20-diacid,n-C25:0,m-C15:0_1,diacid_unknown7
L490-20180729-C-08-P2,NA,NA,NA,NA,NA,0.29830291673841575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.10434070247770373,NA,NA,NA,NA,NA,-0.20298548192024143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L490-20180729-G-11-P2,0.4553710906688328,0.6867135757223083,0.7720354954092805,0.8008553438368801,0.5616758824566006,0.31471000588711046,0.753858766444856,0.7435948555136233,NA,NA,0.8701746634758954,NA,-0.006302656686273344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V460-20180730-C-54-P2,NA,NA,0.6525342467099275,0.5002946614195729,NA,-0.12542469685368454,NA,0.562459580089281,NA,NA,NA,NA,NA,NA,NA,-0.11197218949313308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V460-20180731-E-01-P2,0.2981259527568427,-0.09167513751083776,NA,0.26738478110073644,NA,0.09294885640737166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02615759364797014,-0.0595688151397402,-0.08631565692605603,0.06332002977829577,NA,NA,NA,-0.15151424385130077,-0.019979444404985,-0.09425375552804416,0.05758134066157207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V460-20180731-F-04-P2,NA,NA,0.6939943795355966,0.6290991594359057,0.469528209194671,0.03533444012096875,0.5858441062257104,0.6385288115968657,NA,NA,NA,NA,0.05464879468121974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V460-20180731-I-07-P2,NA,NA,NA,NA,0.5108366586075633,0.2461491033119793,NA,0.4930644187438774,NA,NA,NA,NA,-0.0051650310904470574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B140-20180802-A-03-P2,NA,0.900410223756079,0.6956881776449383,0.5706252038104342,0.6903286970601563,0.13602694563599388,NA,NA,NA,NA,NA,NA,0.24114355069034352,NA,NA,0.3102512317724309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7562351399116936,0.7612912536709211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20180731-G-01-P2,NA,0.30232252717700175,0.6075348342527985,0.511291708845894,NA,0.0038348514009786776,0.5340442207624201,NA,0.2964827157850935,NA,0.4794381921627576,NA,-0.12327584850601256,NA,NA,-0.13022104088666475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20180801-A-03-P2,NA,NA,NA,NA,0.43648650577811604,0.34886405433069545,NA,NA,NA,NA,NA,NA,-0.09632676216932745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20180801-F-01-P2,0.333796835328196,0.7032723482837799,NA,NA,0.5894339469947625,0.47096920161605105,NA,NA,NA,NA,NA,NA,0.1550379333706912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L820-20180802-B-03-P2,0.429054018552051,0.6670452931989118,0.6592335974409047,0.70360099567813,0.5732038218276405,0.41631261187879653,0.6480343054642145,0.675741808864784,NA,NA,0.7718838119965036,NA,0.0513117596001292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L300-20180802-A-02-P2,NA,0.6485651974089337,0.6896208411338645,0.7099969795835535,0.4368151531724661,NA,0.6588796694777586,0.6435343642185015,NA,0.5777037630733531,0.7738809769313989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L780-20190811-F-01-P2,0.5439250750472315,-0.023952462393491202,0.18341081486405172,0.2094407253465917,0.05100867404420839,0.4294435264442139,NA,NA,NA,NA,NA,NA,0.08757569252016122,-0.08216935833809522,NA,NA,0.36557013072167344,0.26200112151325927,0.19822784083103606,0.2382988857181001,NA,0.3093054780632599,NA,0.1686939039373847,NA,NA,NA,NA,NA,0.4059164919696105,0.23186649437770318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L480-20190805-F-01-P2,0.44180773392342054,0.06792811585785934,0.27253822950667195,0.22550918931754432,NA,0.4399556056775477,NA,NA,0.1512238294019877,0.07338438555516102,0.318691263093022,0.26633109700698937,0.1830103547027818,0.020348442946985658,0.1271211334455586,0.2671820748496877,0.38291506145667353,0.37045073893714964,0.3180405153309584,0.3457223239787364,0.4777490333973894,NA,NA,0.1691694503788927,0.21457162116286171,NA,0.3658955046027049,0.45086814507215073,0.12341687695381261,-0.07295877462888871,0.24127730816754464,0.21957737317873463,0.45349616488048416,0.2273362888033379,0.36804797796953076,0.4234616527852456,0.3795111500858798,0.2715621078635769,0.47071595181508774,NA,NA
L820-20190808-E-01-P2,0.45662475989040485,0.03141115490206516,0.22193007662619504,0.2164988356889726,NA,0.3124090443131012,NA,NA,0.09883863455587552,0.02843273245262079,0.23464468674651257,NA,0.13100059125786032,-0.003103505247379701,0.11961250542174895,NA,0.2428290912924652,0.3142611725589742,0.3102565709462759,0.37220275214270515,NA,0.21855119401548073,NA,0.10186711452547889,0.21787541749333778,NA,0.43973034683683315,0.4999245148277073,0.14223850453349537,NA,NA,NA,0.3113578363897679,NA,0.26515474528325916,NA,0.3432945342510383,0.32512365443341906,0.4811279160081039,0.0520598819675417,NA
L820-20190808-B-03-P2,NA,NA,NA,NA,NA,0.017955738569469124,NA,NA,NA,NA,NA,NA,0.03169652785304055,NA,-3.1525628846775785e-4,NA,0.04075693900177092,NA,-0.028497640137833177,0.11096261102439102,NA,NA,NA,-0.07990671334084992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V460-20190810-A-32-P2,NA,NA,NA,-0.23270729362537598,0.2412122784774089,-0.30606658941799636,NA,-0.006347187467594927,NA,NA,NA,NA,-0.27395469023617036,NA,NA,NA,-0.31254903827855174,NA,NA,NA,NA,NA,-0.253255905650535,-0.38067732321458464,NA,NA,NA,NA,NA,NA,NA,NA,-0.2549078038157732,NA,NA,NA,NA,NA,NA,NA,NA
L480-20190811-E-01-P2,0.3417427511261174,0.09107971893127242,0.45807642797500814,0.3564346332927052,NA,0.2449565358992114,NA,NA,0.21276955043714735,0.09052908620952635,0.23960038124222702,0.6888415959067575,0.175827100560004,0.015467834731509455,0.2231815146301635,NA,0.2568952544570685,0.2455321973810367,0.24127730816754447,0.3237470726290537,NA,0.2618008914326243,NA,0.1074735567832569,0.18328567106365484,NA,0.3882461873535785,0.265680349244926,0.14424080533984487,0.40479019776603914,0.2325923284200048,NA,0.3635428011552449,0.11453166712563796,0.32569931591524437,NA,0.32334661246778396,0.19167030569024224,0.358762307980086,NA,0.3299041476085778
B090-20190804-G-01-P2,0.37237795346326086,0.05035792628214484,0.22005291962024262,0.2222554505072269,NA,0.24192805592960803,0.3503526445934192,NA,0.11410617820428862,0.045051829145319286,0.22465821147484596,NA,0.12251584159095544,-0.0039044255699195673,0.07668818188563745,NA,0.19937916379468684,0.3017968500394502,0.31799045781079976,0.33135581569318084,NA,0.29030864916302157,NA,0.18448705154746428,0.3160382145246091,0.3453969500977049,0.5444757077689776,0.38734515199072134,0.16193613871595608,0.3434196780514352,0.24075170420587783,0.2152473976850045,0.33954022023913344,0.3994090143489757,0.31578792692381563,NA,0.40849445425778513,NA,0.4501923685500081,0.03881966788555733,NA
L300-20190804-F-01-P2,0.4917651390418339,0.1353055379915112,NA,0.3162885021254027,0.4106469276246106,0.3695747323343717,NA,NA,0.22030320722103625,0.088251469042304,NA,NA,0.2086147762639726,0.02510390736206496,0.04970717852008129,NA,0.31461157520008526,0.2916351734472279,0.26032419458794165,0.2496118852739732,NA,0.32482330931246645,NA,0.13908488076349546,0.1873653589565915,0.27058598622048163,0.48232929649191336,NA,NA,NA,NA,NA,0.3651696705604035,NA,NA,NA,0.2644789687611164,NA,NA,NA,NA
L480-20190805-A-11-P2,NA,NA,0.6469034506038434,0.6417725547875733,0.5638580246605088,0.26451405411129814,0.7217144144810668,NA,NA,NA,0.6774885954208281,NA,-0.05978359023704004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B140-20190808-B-07-P2,NA,0.5782245329460648,0.6647990140605899,0.6641232375384469,0.44557210452542767,NA,0.7191364521928926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L780-20190802-A-02-P2,NA,NA,0.6840961880817809,0.6991885304096379,0.3011561588674888,-0.0032936787379123085,0.6457521276401927,0.47310374061273003,NA,NA,0.8364712794449574,NA,NA,NA,NA,NA,0.05011769527145357,NA,NA,-0.0305249697042619,NA,NA,NA,-0.10646222778505654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20190806-G-01-P2,0.43822862123207107,0.0919807542941296,0.2953394299389739,0.2979674497473074,0.41760492292667417,0.3541319873654036,NA,NA,0.22005291962024282,0.05714072026365287,NA,NA,0.17770425756595642,0.015042345810160285,0.07808979245008185,NA,0.2789956496071483,0.3422433263277046,0.28237453221786274,0.3250485681531806,NA,0.27306383346833873,NA,0.21009147310865509,0.2399507838833383,0.399984675830801,0.5198223790908028,0.3947536649742137,NA,0.37828474084199115,0.18386133254548015,NA,0.2367971601133382,NA,NA,NA,NA,NA,NA,0.09015365480833584,NA
V460-20190803-F-01-P2,0.4803520244456436,0.14409063277936857,0.3561593169318321,0.32061847761913304,0.07373478819627195,0.327601501681276,NA,NA,0.3697499336549274,0.10609697497889173,0.286854680272069,0.3629921684334988,0.15990880914952754,0.04400062122198598,0.04878111439714487,NA,0.30457504240825983,0.1515992608031782,0.13718269499746363,0.18163377289841662,NA,0.26958483581730697,NA,0.2000048827966708,0.10880008106746306,0.2086147762639726,0.4261647588738171,NA,0.020123184106271452,0.3063020268537361,0.06590078629143079,NA,0.2195523444186552,NA,NA,0.07348450059547851,0.2626518692753228,0.1747508638765911,NA,NA,0.7018315223879487
L780-20190805-E-07-P2,0.2335434213030206,0.06122040815658956,NA,0.09868846199539956,0.13670714855595562,0.06449917572698638,NA,NA,NA,NA,NA,NA,NA,-0.049631970234920074,-0.11836094541285772,NA,0.03977076076857333,0.0743104496780976,0.11250433755920923,0.20005494031682963,0.16453912976420995,NA,NA,NA,NA,NA,NA,NA,NA,-0.19279647788889065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20190806-C-01-P2,0.31046685761701315,0.44862561325511024,NA,NA,0.45958821016987245,0.3126193309838386,NA,NA,NA,NA,NA,NA,NA,0.5641083122613026,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.03910983441148427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B140-20190808-C-02-P2,0.4901632983967549,0.05351155005214494,NA,0.16431387092349575,0.3928514792081817,0.26680664344849736,NA,NA,0.09683633374952656,-0.022050276627459554,0.29874334130976765,NA,0.1532261302083368,-0.010161615589760942,0.09275664585658987,NA,0.18976811992421042,0.2682332827730212,0.2655301766844495,0.2885816647175453,NA,0.228637784327465,NA,0.1076988156239711,0.2501124604755606,0.36274188083270537,0.556489512607073,0.41472661551754725,NA,0.3754064334328643,0.17042088838286099,0.21146805491302026,0.2764427160790529,NA,0.22188001910603639,NA,0.3159130707242124,NA,NA,NA,NA
B140-20190808-B-08-P2,NA,NA,0.6431991941120974,0.6247529979336052,NA,NA,0.6682029254313836,0.5951690035197953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L490-20190807-B-05-P2,NA,NA,NA,NA,NA,-0.127035868570295,NA,NA,NA,NA,NA,NA,0.06816343128867607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V460-20190804-C-03-P2,NA,NA,0.6863738052490028,0.6208735401213034,NA,0.019707751775024637,0.6480047160473359,0.623451502409478,NA,NA,0.6397452252211452,NA,0.23818379850780586,NA,NA,NA,0.001486814437246586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
